date,ticker,close
2026-04-20,AAPL,168.00
2026-04-21,AAPL,169.20
2026-04-22,AAPL,171.10
2026-04-23,AAPL,170.40
2026-04-24,AAPL,172.30
2026-04-27,AAPL,174.00
2026-04-28,AAPL,173.50
2026-04-29,AAPL,175.40
2026-04-30,AAPL,176.20
2026-05-01,AAPL,178.10
2026-04-20,MSFT,410.00
2026-04-21,MSFT,412.30
2026-04-22,MSFT,415.20
2026-04-23,MSFT,414.10
2026-04-24,MSFT,416.50
2026-04-27,MSFT,420.00
2026-04-28,MSFT,421.20
2026-04-29,MSFT,419.80
2026-04-30,MSFT,423.40
2026-05-01,MSFT,425.10
2026-04-20,NVDA,860.00
2026-04-21,NVDA,875.00
2026-04-22,NVDA,890.00
2026-04-23,NVDA,885.00
2026-04-24,NVDA,900.00
2026-04-27,NVDA,920.00
2026-04-28,NVDA,910.00
2026-04-29,NVDA,930.00
2026-04-30,NVDA,940.00
2026-05-01,NVDA,955.00
2026-04-20,SPY,500.00
2026-04-21,SPY,502.00
2026-04-22,SPY,503.50
2026-04-23,SPY,501.80
2026-04-24,SPY,505.20
2026-04-27,SPY,507.40
2026-04-28,SPY,506.60
2026-04-29,SPY,508.20
2026-04-30,SPY,509.10
2026-05-01,SPY,510.00
2026-04-20,600519.SS,1580.00
2026-04-21,600519.SS,1595.00
2026-04-22,600519.SS,1602.00
2026-04-23,600519.SS,1590.00
2026-04-24,600519.SS,1610.00
2026-04-27,600519.SS,1625.00
2026-04-28,600519.SS,1608.00
2026-04-29,600519.SS,1630.00
2026-04-30,600519.SS,1642.00
2026-05-01,600519.SS,1650.00
2026-04-20,300750.SZ,190.00
2026-04-21,300750.SZ,192.00
2026-04-22,300750.SZ,191.00
2026-04-23,300750.SZ,194.00
2026-04-24,300750.SZ,196.00
2026-04-27,300750.SZ,195.00
2026-04-28,300750.SZ,198.00
2026-04-29,300750.SZ,200.00
2026-04-30,300750.SZ,201.00
2026-05-01,300750.SZ,203.00
2026-04-20,POLY-TRUMP-2028,0.57
2026-04-21,POLY-TRUMP-2028,0.56
2026-04-22,POLY-TRUMP-2028,0.58
2026-04-23,POLY-TRUMP-2028,0.55
2026-04-24,POLY-TRUMP-2028,0.59
2026-04-27,POLY-TRUMP-2028,0.61
2026-04-28,POLY-TRUMP-2028,0.60
2026-04-29,POLY-TRUMP-2028,0.62
2026-04-30,POLY-TRUMP-2028,0.64
2026-05-01,POLY-TRUMP-2028,0.63
2026-04-20,POLY-BTC-150K-2026,0.36
2026-04-21,POLY-BTC-150K-2026,0.37
2026-04-22,POLY-BTC-150K-2026,0.35
2026-04-23,POLY-BTC-150K-2026,0.34
2026-04-24,POLY-BTC-150K-2026,0.36
2026-04-27,POLY-BTC-150K-2026,0.38
2026-04-28,POLY-BTC-150K-2026,0.37
2026-04-29,POLY-BTC-150K-2026,0.39
2026-04-30,POLY-BTC-150K-2026,0.40
2026-05-01,POLY-BTC-150K-2026,0.41
